radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,222,10,12008,7590944,,8.8444619,45.8150934,0,1,1,1604618782,1604618782,
UMTS,222,10,12008,7590953,,8.8444619,45.8150934,0,3,1,1599000658,1604623573,
UMTS,222,10,12008,7590954,,8.8444619,45.8150934,0,1,1,1599027620,1599027620,
UMTS,222,10,12010,4631563,,8.6590520,45.8300960,0,1,1,1582097629,1582097629,
UMTS,222,10,12016,6902283,,9.2233154,45.6195915,0,2,1,1603044997,1603065586,
UMTS,222,10,12016,6902313,,9.2233256,45.6195726,3,5,1,1602926070,1603023414,
UMTS,222,10,12016,7212812,,9.1770380,45.5526263,292,256,1,1555572581,1594296093,
UMTS,222,10,12016,7212832,,9.1770230,45.5525787,575,144,1,1553391233,1595676855,
UMTS,222,10,12016,7500063,,9.2233167,45.6195764,2,4,1,1602936257,1602951267,
UMTS,222,10,12016,7602229,,7.7555064,47.4724523,0,1,1,1604239501,1604239501,
UMTS,222,10,12020,6018603,,9.2268466,45.5346849,0,78,1,1596089867,1596089878,
UMTS,222,10,12020,7583795,,9.2258364,45.5347177,27,10,1,1596089867,1596090008,
UMTS,222,10,12035,7438112,,9.2077126,45.4600656,782,2,1,1595606031,1595606085,
UMTS,222,10,12035,7468339,,8.8320014,44.8660007,2203,42,1,1591725188,1591725188,
UMTS,222,10,12035,7650592,,9.2129936,45.4580278,0,1,1,1595658455,1595658455,
UMTS,222,10,12037,6861601,,9.2137540,45.4581088,2618,22,1,1595591301,1595657005,
UMTS,222,10,12037,7441185,,9.2131780,45.4580923,1,2,1,1595594627,1595594627,
UMTS,222,10,12037,7473953,,9.2129483,45.4580027,0,1,1,1595657107,1595657107,
UMTS,222,10,12040,7451168,,9.2065504,45.5040114,0,1,1,1595661653,1595661653,
UMTS,222,10,12040,7472160,,9.2133172,45.4969551,0,1,1,1595661612,1595661612,
UMTS,222,10,12040,7583244,,9.3600076,45.4116390,0,1,1,1604300534,1604300534,
UMTS,222,10,12046,6418483,,9.2040102,45.4877691,26,6,1,1595660423,1595660879,
UMTS,222,10,12046,7399199,,9.2038147,45.4878182,0,1,1,1595661530,1595661530,
UMTS,222,10,12046,7556127,,9.2039730,45.4878076,12,2,1,1595660956,1595660993,
UMTS,222,10,12055,5112106,,7.6798404,45.0647122,1,2,1,1600465937,1600465984,
UMTS,222,10,12055,5112116,,7.6798198,45.0648758,39,4,1,1600379239,1601150303,
UMTS,222,10,12056,4667424,,8.0332262,44.6958205,55,215,1,1594390111,1598470293,
UMTS,222,10,12056,4667425,,8.0332233,44.6958442,8,6,1,1594770861,1594770872,
UMTS,222,10,12056,4855839,,8.0287908,44.6989734,0,1,1,1598489656,1598489656,
UMTS,222,10,12057,4395561,,7.8938866,44.4829214,211,8,1,1582285506,1582285506,
UMTS,222,10,12057,4395563,,8.2487560,44.3483204,18473,89,1,1593025156,1593025156,
UMTS,222,10,12062,5072651,,7.5965620,45.0239467,523,12,1,1582285523,1582285523,
UMTS,222,10,12066,4372236,,7.8800934,44.8810142,383,14,1,1582285512,1582285512,
UMTS,222,10,12066,4543777,,7.7289630,44.9349830,0,1,1,1596703030,1596703030,
UMTS,222,10,12066,4619789,,6.7861902,44.9513861,186,9,1,1582285492,1582285492,
UMTS,222,10,12072,4869151,,8.6164315,44.9039678,0,4,1,1574843375,1581582061,
UMTS,222,10,12073,4226337,,8.7885737,44.7622876,0,1,1,1595152261,1595152261,
UMTS,222,10,12073,4352545,,8.0330508,44.6960177,0,1,1,1595151170,1595151170,
UMTS,222,10,12073,4800544,,8.7846517,44.7648676,0,1,1,1595151230,1595151230,
UMTS,222,10,13008,6705951,,8.8491950,45.6201500,0,1,1,1593179070,1593179070,
UMTS,222,10,13022,4291616,,10.3917286,43.7244598,0,1,1,1599145937,1599145937,
UMTS,222,10,13022,4363819,,9.8136062,44.1109012,0,1,1,1593419731,1593419731,
UMTS,222,10,13022,4959776,,9.8271783,44.1037900,191,3,1,1593678575,1593678905,
UMTS,222,10,13022,5032993,,10.3917286,43.7244598,0,1,1,1599145350,1599145350,
UMTS,222,10,13022,5033011,,9.8385944,44.1136491,0,1,1,1593675497,1593675497,
UMTS,222,10,13022,5033504,,10.3917286,43.7244598,0,1,1,1599145677,1599145677,
UMTS,222,10,13023,4466956,,10.3917286,43.7244598,0,1,1,1599150313,1599150313,
UMTS,222,10,13023,4466975,,10.3917286,43.7244598,0,2,1,1599146254,1599150571,
UMTS,222,10,13023,4466976,,10.3917286,43.7244598,0,1,1,1599147433,1599147433,
UMTS,222,10,13023,4466985,,9.8361244,44.0531165,0,1,1,1593688715,1593688715,
UMTS,222,10,13023,4645930,,9.8251667,44.1028609,0,1,1,1593683406,1593683406,
UMTS,222,10,13023,4654368,,10.3917286,43.7244598,0,1,1,1599148177,1599148177,
UMTS,222,10,13023,4654377,,9.6495469,44.1454749,8,2,1,1593689448,1593699976,
UMTS,222,10,13023,4817952,,10.3917286,43.7244598,0,1,1,1599144786,1599144786,
UMTS,222,10,13023,4818473,,10.3917286,43.7244598,0,1,1,1599144186,1599144186,
UMTS,222,10,13023,4819243,,10.3917286,43.7244598,0,1,1,1599144477,1599144477,
UMTS,222,10,13024,4333087,,8.2744000,44.2284810,0,2,1,1562943146,1598015637,
UMTS,222,10,13027,4649247,,7.5829135,43.7932795,2379,3,1,1603268432,1603271639,
UMTS,222,10,13027,5029644,,7.6550752,43.8281723,0,1,1,1610792854,1610792854,
UMTS,222,10,13029,4540467,,8.8518468,44.4274094,0,1,1,1593366235,1593366235,
UMTS,222,10,13029,4932639,,8.9187830,44.4161560,0,3,1,1562948073,1593109604,
UMTS,222,10,13045,6650144,,9.2025304,45.7632373,0,2,1,1605793762,1605793763,
UMTS,222,10,13045,6650145,,9.1889884,45.7673847,0,1,1,1605793807,1605793807,
UMTS,222,10,13045,6671135,,9.1870888,45.7675979,150,3,1,1605793807,1605793807,
UMTS,222,10,13045,6727723,,9.3154564,45.6949739,0,1,1,1605793174,1605793174,
UMTS,222,10,13045,6960651,,9.3060062,45.7543985,0,2,1,1595844893,1595844933,
UMTS,222,10,13045,7029281,,9.1193326,45.7975794,140,2,1,1595843452,1595843452,
UMTS,222,10,13045,7036429,,9.2631032,45.7307206,0,1,1,1605793186,1605793186,
UMTS,222,10,13045,7078412,,9.3486149,45.7028400,133,57,1,1595845748,1595849676,
UMTS,222,10,13045,7078432,,9.3407160,45.7020588,44,156,1,1605782238,1605792478,
UMTS,222,10,13045,7078433,,9.3243121,45.7085388,0,1,1,1605792476,1605792476,
UMTS,222,10,13045,7078441,,9.3302465,45.7071541,0,1,1,1595845461,1595845461,
UMTS,222,10,13045,7078442,,9.3410746,45.7023723,4298,142,1,1578469532,1595852288,
UMTS,222,10,13045,7136012,,9.2850670,45.7231172,0,2,1,1605793140,1605793174,
UMTS,222,10,13045,7136032,,9.2801552,45.7261880,746,12,1,1605793140,1605793247,
UMTS,222,10,13045,7136033,,9.2716341,45.7276905,0,3,1,1605793223,1605793249,
UMTS,222,10,13045,7151145,,9.3201370,45.7384377,0,1,1,1595845102,1595845102,
UMTS,222,10,13045,7198753,,9.3065229,45.7019412,1435,9,1,1595845389,1605793186,
UMTS,222,10,13045,7222048,,9.2951068,45.7009390,253,7,1,1605792478,1605793186,
UMTS,222,10,13045,7222058,,9.3154564,45.6949739,0,1,1,1605793174,1605793174,
UMTS,222,10,13045,7348778,,9.3166671,45.7254934,0,1,1,1595845179,1595845179,
UMTS,222,10,13045,7542540,,9.3100088,45.7430470,2492,35,1,1523432049,1595844888,
UMTS,222,10,13045,7542570,,9.3161052,45.7534421,0,3,1,1595844888,1595844969,
UMTS,222,10,13058,5017613,44,7.3422704,45.7391825,94,58,1,1512890666,1587647540,
UMTS,222,10,13059,4908331,,7.7555064,47.4724523,0,1,1,1604086876,1604086876,
UMTS,222,10,13065,4809484,,8.3351388,44.2074419,6703,84,1,1492076083,1596874565,
UMTS,222,10,13065,4974112,0,8.4740460,44.3037740,0,1,1,1590497996,1590497996,
UMTS,222,10,13067,4965151,0,8.8115052,44.4312296,16,2,1,1590840804,1590840804,
UMTS,222,10,13091,4224299,,7.6727580,45.2014410,0,1,1,1595081445,1595081445,
UMTS,222,10,13091,4515114,0,7.7952920,45.2054320,0,1,1,1591283844,1591283844,
UMTS,222,10,14502,31005546,147,9.2508195,45.5995871,576,40,1,1592425371,1592425383,
UMTS,222,10,14502,31011846,247,9.2509915,45.5994536,185,68,1,1592425371,1592425383,
UMTS,222,10,14502,31014186,147,9.2497443,45.5991473,1292,730,1,1592425371,1592425383,
UMTS,222,10,14510,31659671,186,8.8434494,45.7768714,73,4,1,1590172202,1590172202,
UMTS,222,10,14527,26251551,323,9.5953280,46.1473680,0,1,1,1581341170,1581341170,
UMTS,222,10,14527,27381103,16,9.5961170,46.1471650,0,1,1,1581341170,1581341170,
UMTS,222,10,14703,6560682,241,8.5480364,44.9756883,205,4,1,1592436576,1592436576,
UMTS,222,10,14703,26501332,270,7.5295509,44.2348837,134,2,1,1596375144,1596375144,
UMTS,222,10,14713,26525292,444,7.4446790,44.2937280,0,1,1,1596799137,1596799137,
UMTS,222,10,14724,26607943,164,7.1275712,45.0032820,26,2,1,1597216266,1597216266,
UMTS,222,10,15001,4112,458,9.1068436,45.5175900,12630,131,1,1424277302,1595579888,
UMTS,222,10,15001,11733,,9.1627771,45.4806878,17,11,1,1579612923,1610926101,
UMTS,222,10,15001,4997688,150,9.1233463,45.5353916,3755,41,1,1445989329,1596111334,
UMTS,222,10,15001,5021714,347,9.1582571,45.5340215,417,3,1,1501775564,1596820950,
UMTS,222,10,15001,5035043,239,9.1446798,45.5237022,781,2,1,1502443360,1581659542,
UMTS,222,10,15001,5035045,204,9.1423648,45.5263508,505,21,1,1480720083,1594384223,
UMTS,222,10,15001,5043999,225,9.1574066,45.5335150,557,8,1,1492123359,1596820950,
UMTS,222,10,15001,10946531,437,9.1627315,45.4763498,17,3,1,1593189339,1593453931,
UMTS,222,10,15001,10951550,166,9.1545776,45.4521932,355,52,1,1459275815,1593102921,
UMTS,222,10,15001,10953603,195,9.1282288,45.5046027,1577,98,1,1427917578,1592137766,
UMTS,222,10,15001,10953604,186,9.1300367,45.5002029,4299,274,1,1433430877,1596820938,
UMTS,222,10,15001,10953605,181,9.1234398,45.5028966,833,109,1,1441963898,1596820938,
UMTS,222,10,15001,10955719,143,9.1351210,45.4615224,2753,31,1,1472326686,1593325306,
UMTS,222,10,15001,10955721,145,9.1270816,45.4651485,456,21,1,1490603517,1593325306,
UMTS,222,10,15001,10957669,263,9.1329103,45.5042031,1433,246,1,1470527761,1596820938,
UMTS,222,10,15001,10957671,60,9.1338392,45.4986686,686,195,1,1488326033,1592137766,
UMTS,222,10,15001,10958030,235,9.0964482,45.5046952,2838,336,1,1505575214,1581427482,
UMTS,222,10,15001,10959763,333,9.1220207,45.5168509,3757,2487,1,1395515024,1607812594,
UMTS,222,10,15001,10959764,334,9.1183230,45.5117708,1136,127,1,1429718029,1592137766,
UMTS,222,10,15001,10959765,335,9.1097555,45.5177915,2900,911,1,1395515024,1597690678,
UMTS,222,10,15001,10961931,285,9.1506210,45.4896204,6758,42,1,1471039616,1594384229,
UMTS,222,10,15001,10963220,399,9.0871596,45.5013730,1828,149,1,1463748299,1581427482,
